EPCI;LIBEPCI;DEP
241200658;Communauté de communes du Pays de Salars;12
241200567;Communauté de communes de Millau Grands Causses;12
241200674;Communauté de communes du Plateau de Montbazens;12
200067064;Communauté de communes Decazeville Communauté;12
241200765;Communauté de communes de Lévézou Pareloup;12
200069383;Communauté de communes Ouest Aveyron Communauté;12
241200625;Communauté de communes du Pays Rignacois;12
200067163;Communauté de communes Monts, Rance et Rougier;12
241200542;Communauté de communes du Réquistanais;12
241200914;Communauté de communes de la Muse et des Raspes du Tarn;12
241200807;Communauté de communes Aveyron Bas Ségala Viaur;12
241200906;Communauté de communes Larzac et Vallées;12
200068484;Communauté de communes des Causses à l'Aubrac;12
200067478;Communauté de communes Comtal Lot et Truyère;12
200068831;Communauté de communes Pays Ségali Communauté;12
200067171;Communauté de communes Aubrac, Carladez et Viadène;12
200067155;Communauté de communes Saint Affricain, Roquefort, Sept Vallons;12
241200641;Communauté de communes Conques-Marcillac;12
241200187;Communauté d'agglomération Rodez Agglomération;12
200054807;Métropole d'Aix-Marseille-Provence;13
241300417;Communauté d'agglomération d'Arles-Crau-Camargue-Montagnette;13
241300375;Communauté de communes Vallée des Baux-Alpilles (CC VBA);13
200035087;Communauté d'agglomération Terre de Provence;13
200066827;Communauté de communes du Pays de Honfleur-Beuzeville;14
241400555;Communauté de communes de Bayeux Intercom;14
200065589;Communauté de communes Val ès Dunes;14
200066728;Communauté de communes Vallées de l'Orne et de l'Odon;14
200069524;Communauté de communes Pré-Bocage Intercom;14
200065563;Communauté de communes Normandie-Cabourg-Pays d'Auge;14
241400860;Communauté de communes Cœur de Nacre;14
241400878;Communauté de communes Terre d'Auge;14
200069516;Communauté de communes Seulles Terre et Mer;14
200066801;Communauté de communes Isigny-Omaha Intercom;14
241400514;Communauté de communes du Pays de Falaise;14
200065597;Communauté urbaine Caen la Mer;14
200066710;Communauté de communes Cingal-Suisse Normande;14
200068799;Communauté de communes Intercom de la Vire au Noireau;14
241400415;Communauté de communes Cœur Côte Fleurie;14
200069532;Communauté d'agglomération Lisieux Normandie;14
200066637;Communauté de communes Hautes Terres Communauté;15
200066660;Saint-Flour Communauté;15
241501139;Communauté de communes du Pays de Salers;15
241501055;Communauté de communes Sumène - Artense;15
241500255;Communauté de communes du Pays Gentiane;15
241500271;Communauté de communes du Pays de Mauriac;15
200066678;Communauté de communes de la Châtaigneraie Cantalienne;15
